"success_rate","is_txn_conflicted","card_issuer_country","priority_logic_tag","udf6","txn_latency_enum","payment_method_type"
66.67,"RESOLVED",NA,NA,"7187","0M-1M","NB"
0,"MATCH",NA,NA,"CFC","1H-1D","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871681","0M-1M","CARD"
0,NA,NA,NA,"payeazy","0M-1M","NB"
0,NA,NA,"Pinelabls_testing","1930858114","0M-1M","NB"
0,"RESOLVED",NA,NA,"7d51663e-b51d-4e12-bcbc-b3ec566f","3M-4M","UPI"
0,NA,NA,"Pinelabls_testing","1930861799","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930856233","0M-1M","CARD"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0885474944964288512","0M-1M","NB"
0,NA,NA,"ScheduleTest",NA,"1D-3D","WALLET"
0,"RESOLVED",NA,NA,"57e0f9ab-cf60-4c42-a5df-58f6daf6","10M-1H","UPI"
100,"RESOLVED",NA,NA,"05d628d3-6452-537c-907d-d71e146c","0M-1M","NB"
0,"RESOLVED",NA,"Cahsfree Testing","pm6endvtff8z","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876636","0M-1M","CARD"
0,"RESOLVED","USA",NA,"Agency","5M-6M","CARD"
0,NA,NA,NA,"epn_QseSy2wgYD387te","0M-1M","CONSUMER_FINANCE"
0,"MATCH","INDIA","Card",NA,"2M-3M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930857497","0M-1M","CARD"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10027050_P6","0M-1M","NB"
0,NA,"INDIA","Cashfree September 2025 Test",NA,"0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930861064","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates","payU only",NA,"0M-1M","CARD"
0,NA,"BRAZIL",NA,NA,"0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865623","0M-1M","CARD"
0,NA,NA,"Pinelabls_testing","1930857420","0M-1M","NB"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10026969_VK","0M-1M","NB"
0,"MATCH",NA,NA,"epn_5nbV4nIzDJtcVrz","10M-1H","UPI"
0,"RESOLVED","INDIA",NA,"payeazy","3M-4M","CARD"
100,"RESOLVED",NA,NA,"8f842b97-50b1-42be-8","0M-1M","NB"
0,NA,"INDIA",NA,"1930862537","0M-1M","CARD"
67.1,"RESOLVED",NA,"Test - Jo","udf6","0M-1M","UPI"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0881876222272806912","0M-1M","NB"
0,"RESOLVED","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0877869767754645504","3M-4M","CARD"
0,"RESOLVED","INDIA","Pinelabls_testing","1930862675","3M-4M","CARD"
0,"RESOLVED",NA,NA,"7179","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-87f693e5-47ef-427e-9e43-8454","0M-1M","NB"
0,"RESOLVED","United Arab Emirates","UPI_ROUTER","367ffda2-98cf-4747-a6c6-b1274310","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930863364","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876639","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","ofxom48o6peb","0M-1M","NB"
0,"MATCH",NA,"PL4",NA,"5M-6M","UPI"
0,"RESOLVED",NA,NA,"51.0","3M-4M","NB"
0,"RESOLVED",NA,NA,"165b64ee-9748-4a9f-bd6e-31098343","10M-1H","UPI"
100,"RESOLVED",NA,NA,NA,"2M-3M","RTP"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871512","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930865686","3M-4M","CARD"
0,"MATCH","United Arab Emirates",NA,"web","0M-1M","CARD"
0,"MATCH",NA,"Testing 31st-copy-18Nov",NA,"10M-1H","UPI"
0,NA,"INDIA",NA,"ax2748i-a","0M-1M","CARD"
100,"RESOLVED",NA,NA,"epn_5ncACb3z3wqo8jV","0M-1M","NB"
0,"MATCH",NA,"Testing Upi Autopay.","kyc","5M-6M","NB"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10027070_0i","0M-1M","NB"
0,"MATCH","INDIA","Testing-Env-withstripe-enforcerule-Gocashfree",NA,"3M-4M","CARD"
100,"RESOLVED","UNITED STATES","Code based Priority logic with CC transactions routed to PayU Surcharge MID",NA,"1M-2M","CARD"
0,"RESOLVED","INDIA","FIDO","udf6","10M-1H","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930862508","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","9ba7fa59-3cfb-4c1d-8546-19eac7ba","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871838","0M-1M","CARD"
0,"RESOLVED","SAUDI ARABIA","Volume-Based Routing-copy-2",NA,"0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","1tp5iv7k2xfe","0M-1M","NB"
0,"RESOLVED","INDIA",NA,"1930863641","3M-4M","CARD"
100,"RESOLVED",NA,NA,"epn_X2xqR8nYa3WnyB5","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930861337","0M-1M","CARD"
0,"MATCH","United Arab Emirates","Cashfree (Debit) & Payu (Credit)","3.9.9","1M-2M","CARD"
100,"RESOLVED",NA,NA,"d1551d50-d38d-423e-9","0M-1M","NB"
100,"RESOLVED","UNITEDARABEMIRATES","Testing-Env-withstripe-enforcerule-PayU-copy-0",NA,"1M-2M","CARD"
0,"RESOLVED","UNITED STATES OF AMERICA","Current PL 25072025","home_search_box","3D-7D","CARD"
100,NA,NA,"UPI_ROUTER","f01ec7e4-d490-42a5-baf8-44027c8d","0M-1M","CASH"
100,"RESOLVED","USA",NA,"Retail","1M-2M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","8cdlfj0vkhvn","0M-1M","NB"
0,NA,NA,"Pinelabls_testing","1930862953","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","lije50eq747n","0M-1M","NB"
100,"RESOLVED",NA,NA,"2b2c3269-a962-4011-9","0M-1M","NB"
0,"RESOLVED","UNITEDSTATES",NA,"car|SO-Fortune-2526-002141|21000","3M-4M","CARD"
100,NA,"INDIA","Surcharge with Billdesk and PayU","https://qa-myinsurance.tataaia.c","0M-1M","CARD"
0,NA,"USA","Pinelabls_testing","1930857710","0M-1M","CARD"
100,"RESOLVED",NA,"UPI_ROUTER","028c0d58-3834-40c5-b5a7-ae33fee7","1M-2M","UPI"
100,"RESOLVED",NA,NA,"46e3549c-2a33-578c-910d-50aa493c","0M-1M","NB"
100,"RESOLVED","JAPAN","Test Gateway Routing",NA,"0M-1M","CARD"
0,NA,NA,"Cahsfree Testing","srpba49r8j9x","0M-1M","NB"
0,NA,NA,NA,"Agency","0M-1M","UPI"
0,"RESOLVED",NA,NA,"0c9e51bc-71d4-4055-a54c-8fe8c0dc","10M-1H","NB"
33.33,NA,"UNITEDSTATES","wallet pl 2",NA,"0M-1M","CARD"
100,"RESOLVED",NA,NA,"39b30186-f571-5e7c-9f69-6e102a52","0M-1M","NB"
100,"RESOLVED",NA,NA,"387e7b15-fdbd-4a5f-b","0M-1M","NB"
0,NA,NA,"DF UPI Routing",NA,"0M-1M","UPI"
0,"MATCH",NA,NA,"epn_5msFQWTVaGy2VSD","10M-1H","UPI"
0,"MATCH",NA,"PL for 3 PGs (PayU, PayTM_V2 and Razorpay)",NA,"10M-1H","NB"
100,"RESOLVED",NA,NA,"epn_5nct4hIekNC7gmu","0M-1M","UPI"
0,NA,NA,"Surcharge with Billdesk and PayU","https://sellonlineuat.tataaia.co","0M-1M","AADHAAR"
0,"RESOLVED",NA,NA,"e1662546-0f9b-4191-a37c-2cf49c39","10M-1H","UPI"
100,"RESOLVED",NA,"Cashfree (Debit) & Payu (Credit)","3.9.9","1M-2M","NB"
0,"RESOLVED",NA,"UPI-Testing-070125174500",NA,"5M-6M","UPI"
0,"MATCH","United Arab Emirates",NA,NA,"0M-1M","CARD"
100,"RESOLVED",NA,NA,"517ff170-d88f-4597-8","0M-1M","NB"
0,"RESOLVED",NA,NA,"241d35b7-9298-45bb-a878-ff5b7bda","10M-1H","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","9icpfj66r51k","0M-1M","NB"
0,"RESOLVED",NA,"Cahsfree Testing","rl30maxtnwmr","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-a34d9dd9-a3a7-42ef-8e15-beb4","0M-1M","NB"
100,"RESOLVED",NA,NA,"9d5312ca-8226-4b84-b","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-ad0d5a61-c62d-4d61-9dd7-a943","0M-1M","UPI"
0,NA,NA,"Cahsfree Testing","orbdw6nexxg3","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","idq5w0axtk1q","0M-1M","NB"
0,NA,"United Arab Emirates","UPI_ROUTER","0bb5fdb8-0876-4922-b285-1823f16e","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930857689","0M-1M","CARD"
100,"CONFLICTED","INDIA","asasasa",NA,"2M-3M","CARD"
100,"RESOLVED",NA,NA,"0fc55d4e-fc07-407b-94cd-b75c11f8","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930868970","3M-4M","CARD"
0,"RESOLVED","UNITEDSTATES",NA,"acc|OTC-Fortune-NR-2526-000025|8","3M-4M","CARD"
0,NA,NA,"Pinelabls_testing","1930861310","0M-1M","NB"
0,"MATCH","UNITED STATES OF AMERICA",NA,"eyJhbGciOiJIUzUxMiIsInR5cCI6IkpX","0M-1M","CARD"
100,"RESOLVED",NA,NA,"6db99ad0-2b64-408b-8312-f7634000","0M-1M","NB"
0,"RESOLVED","INDIA",NA,"1930864356","3M-4M","CARD"
0,"RESOLVED",NA,NA,"epn_BMzwFgejVcw1xkU","0M-1M","UPI"
0,"RESOLVED","INDIA","Pinelabls_testing","1930868782","3M-4M","CARD"
100,"RESOLVED",NA,NA,"676e2aed-34bd-4bca-a","0M-1M","NB"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022786_BK","0M-1M","NB"
0,NA,NA,"plc",NA,"0M-1M","NB"
100,"RESOLVED","NAMIBIA",NA,"b83583386-a","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","kncv34l733ol","0M-1M","NB"
100,"RESOLVED",NA,NA,"8a9ae170-bf32-4868-b","0M-1M","NB"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022199_21","1M-2M","NB"
100,"RESOLVED","USA",NA,"3355","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","d71401df-e521-47d5-8e62-eb12b7b6","0M-1M","CARD"
100,"RESOLVED",NA,NA,"b261fcea-1aa7-4607-8b0b-77049262","0M-1M","NB"
0,NA,"TUNISIA","All_PG_Configuration","IN","0M-1M","CARD"
0,"RESOLVED",NA,"ABSLI UAT Priority logic 0912025 TPSL Zara_Bot",NA,"5M-6M","NB"
0,"MATCH",NA,"PayU Test",NA,"3M-4M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930874626","0M-1M","CARD"
100,"RESOLVED",NA,NA,"019a9bc6-9dac-7136-88c3-3c118486","0M-1M","NB"
100,"RESOLVED",NA,NA,"1000","1M-2M","NB"
0,"RESOLVED",NA,"Easebuzz Routing","CH05","5M-6M","NB"
NA,NA,NA,"UPI_QR Priority logic",NA,"0M-1M","UPI"
0,NA,NA,"MPGS",NA,"0M-1M","WALLET"
0,NA,NA,"Pinelabls_testing","1930858964","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930856242","0M-1M","CARD"
0,NA,NA,"Easebuzz Routing","CH09","0M-1M","NB"
0,"RESOLVED","UNITEDSTATES",NA,"R","3M-4M","CARD"
0,"RESOLVED",NA,"newLTFS",NA,"10M-1H","NB"
0,NA,"USA","Pinelabls_testing","1930860766","0M-1M","CARD"
0,NA,"UKRAINE",NA,NA,"5M-6M","CARD"
0,"RESOLVED","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0881459276104540160","10M-1H","CARD"
0,"RESOLVED",NA,NA,"c444502c-8ea1-46a0-8ded-b0a3f6c9","9M-10M","UPI"
0,NA,NA,NA,"RINGPCHFL","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","5e1w1hwh2ns7","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","g95ciwgjjym9","0M-1M","NB"
0,"RESOLVED",NA,"Cahsfree Testing","k1ck2z4sauza","0M-1M","NB"
100,"RESOLVED",NA,NA,"6440c37b-bb4f-4f8a-8","0M-1M","NB"
100,"RESOLVED","UNITED STATES OF AMERICA",NA,"V2ViQXBwLUVhdFN1cmU=_10026175_F6","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930866212","3M-4M","CARD"
0,NA,NA,NA,"ANDROID","0M-1M","WALLET"
0,"MATCH",NA,NA,NA,"0M-1M","UPI"
100,"RESOLVED","INDIA",NA,"661ad4a9-6537-456d-8317-a575e46d","0M-1M","CARD"
100,"RESOLVED","UNITEDSTATES",NA,"car|SO-Wasan-2526-000244|21000|0","0M-1M","CARD"
100,"RESOLVED",NA,NA,"HDFC","5M-6M","UPI"
100,"RESOLVED",NA,NA,"7217","0M-1M","NB"
100,"RESOLVED",NA,NA,"CH09","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930867703","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930860561","0M-1M","CARD"
66.67,"RESOLVED","INDIA","ABFRL New Priority Logic-3",NA,"1M-2M","CARD"
100,"RESOLVED",NA,NA,"epn_5ndGnIaMt7N7EUc","3M-4M","UPI"
0,"RESOLVED",NA,"Dummy",NA,"10M-1H","UPI"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876843","0M-1M","CARD"
0,"MATCH","INDIA","UAT- Phase 1- Payment Rules-All LOBs-09-12-2025",NA,"10M-1H","CARD"
25,"RESOLVED","INDIA","Surcharge with Billdesk and PayU","https://sellonlineuat.tataaia.co","2M-3M","CARD"
0,"RESOLVED",NA,"Cahsfree Testing","fwgnm3lmwxlj","0M-1M","UPI"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10022199_Lx","0M-1M","NB"
0,"RESOLVED",NA,"Cahsfree Testing","uxzncuq9ojo8","0M-1M","UPI"
0,"RESOLVED",NA,NA,"4281.99","1M-2M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","me8hcpwoj1d8","0M-1M","NB"
0,NA,"JAPAN",NA,NA,"0M-1M","CARD"
0,NA,"United Arab Emirates",NA,"74616867d5258a4d75f6d32d360667e5","0M-1M","CARD"
0,NA,NA,"ark-test-v1-copy-V3",NA,"0M-1M","WALLET"
100,"RESOLVED","INDIA",NA,"FEDERAL-281727543-1765176706","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","quxyuj4eexr2","0M-1M","NB"
0,"MATCH","INDIA","Surcharge with Billdesk and PayU","https://uatsellonline.tataaia.co","1M-2M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930861015","0M-1M","CARD"
0,NA,"INDIA",NA,"BPPTN0883628398941528064","0M-1M","CARD"
0,"MATCH",NA,"Testing Upi Autopay.","kyc","5M-6M","UPI"
0,"RESOLVED",NA,"TPSL-AADHAAR","NA","3D-7D","AADHAAR"
0,"RESOLVED",NA,"Cahsfree Testing","ffzlj73vnaoz","0M-1M","UPI"
100,"RESOLVED",NA,NA,"019adf18-fcd7-720e-9ff2-701eda9f","0M-1M","NB"
0,"RESOLVED",NA,NA,"cf1743d0-4909-4c33-9b9d-b5a8f941","0M-1M","UPI"
100,"RESOLVED",NA,NA,"c8251c90-87d1-4fed-a","0M-1M","NB"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","80c8d248-7011-48ca-8dcc-690b9b7e","0M-1M","CARD"
100,"RESOLVED",NA,NA,"3a629753-798e-461e-9bca-4fa184ea","5M-6M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876938","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930874662","0M-1M","CARD"
0,"MATCH",NA,"Card",NA,"0M-1M","NB"
0,"MATCH","INDIA","Code based Priority logic with CC transactions routed to PayU Surcharge MID","For monthly mode, 2 months inves","6M-7M","CARD"
0,"MATCH",NA,NA,NA,"6M-7M","UPI"
0,NA,NA,"Easebuzz Routing","CH06","0M-1M","CONSUMER_FINANCE"
100,"RESOLVED",NA,NA,"5b806b57-5f27-4528-8","0M-1M","NB"
100,NA,"INDIA","MPGS 5",NA,"3D-7D","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876412","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","eg6xr7qlag14","0M-1M","NB"
0,"RESOLVED",NA,"Test - Jo","udf6","3M-4M","UPI"
0,NA,NA,"Pinelabls_testing","1930876437","0M-1M","NB"
100,"RESOLVED",NA,"UPI_ROUTER","f396d397-340a-4bd2-b72a-6bd63e3a","0M-1M","NB"
100,"RESOLVED",NA,NA,"302a9598-a076-4bc2-8","0M-1M","NB"
100,"RESOLVED","UNITEDSTATES",NA,"subscription|OD1745583861436|176","0M-1M","CARD"
100,"RESOLVED",NA,NA,"8342ff3d-73ea-4569-a","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930860632","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","7yg64o3d47um","0M-1M","NB"
100,"RESOLVED",NA,"SI via Billdesk",NA,"1M-2M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930855915","0M-1M","CARD"
100,"RESOLVED",NA,NA,"777494ff-65d4-45ac-811d-a0b9f802","0M-1M","NB"
33.33,"RESOLVED",NA,NA,"0.0","1M-2M","NB"
100,NA,NA,"TestNew","mcGhJfB9PyHulMT0LJShK1rt7G0J249m","0M-1M","CASH"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","e7ad5be5-f233-4ca1-b92e-bdc98a27","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930876937","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates",NA,"75710/false","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","qi8yyf3z77hy","0M-1M","NB"
100,"RESOLVED",NA,NA,"ZWF0c3VyZV9hbmRyb2lk_10027010_ub","0M-1M","NB"
0,NA,NA,"UPI_ROUTER","9bc7cabf-d6fe-44ab-b5c9-92c64d81","0M-1M","UPI"
0,"RESOLVED","United Arab Emirates","newLTFS",NA,"10M-1H","CARD"
0,"RESOLVED",NA,NA,"8b6079a7-b57d-4a0b-8b0f-9ce83c4f","10M-1H","UPI"
100,"RESOLVED","USA","Pinelabls_testing","1930861346","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930871642","0M-1M","CARD"
0,"RESOLVED",NA,NA,"cfd18b58-4d4c-4d95-aadd-233cc7f5","9M-10M","UPI"
88.24,"RESOLVED",NA,"MPGS 8",NA,"0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930867677","0M-1M","CARD"
100,"RESOLVED",NA,NA,"ecc1612a-9f33-49b1-b38d-ad205cd2","0M-1M","NB"
45.45,"RESOLVED",NA,"ICICI_UPI Gateway test",NA,"1M-2M","NB"
100,"RESOLVED",NA,NA,"fe1b80b4-be83-49ca-8d48-62bf58df","0M-1M","NB"
100,"RESOLVED",NA,"Cahsfree Testing","q0smqo6erzye","0M-1M","NB"
100,NA,NA,"newLTFS",NA,"3M-4M","NB"
100,"RESOLVED",NA,"Tata PA - 25% TN and 5% of other cards","BPPTN0881469380489060352","0M-1M","NB"
0,"RESOLVED","JAPAN",NA,"payeazy","3M-4M","CARD"
100,"RESOLVED","UNITEDSTATES",NA,"car|SO-Wasan-2526-000242|21000|0","0M-1M","CARD"
0,"RESOLVED","INDIA",NA,"1930863356","3M-4M","CARD"
0,"RESOLVED",NA,"Cahsfree Testing","htqo0355qo55","0M-1M","UPI"
0,"RESOLVED",NA,"Visa PL",NA,"0M-1M","WALLET"
100,"RESOLVED",NA,"ScheduleTest","eyJvcmRlcklkIjozNjc5MjkwLCJjbG90","0M-1M","WALLET"
0,"RESOLVED",NA,"Test - Jo","udf6","2M-3M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930870940","1M-2M","CARD"
0,NA,"United Arab Emirates","UPI_ROUTER","199db9be-f452-4ed1-8013-600804ec","0M-1M","CARD"
0,"RESOLVED","JAPAN",NA,"11.0","3M-4M","CARD"
100,"RESOLVED","INDIA","TST1-copy-0",NA,"4M-5M","CARD"
77.27,"RESOLVED",NA,"Test - Jo",NA,"1M-2M","RTP"
100,"RESOLVED","UNITED STATES OF AMERICA",NA,"1-7FH7WUN","0M-1M","CARD"
100,"RESOLVED",NA,NA,"839b0d4b-2f65-4392-882d-61f4cbaa","0M-1M","NB"
100,"RESOLVED",NA,NA,"RID-b854c2a3-650d-4c52-88ea-b73c","0M-1M","UPI"
0,"RESOLVED","UNITEDSTATES",NA,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpX","10M-1H","CARD"
0,"RESOLVED",NA,NA,"3f249310-d2fc-47f6-b159-aa236b0a","0M-1M","UPI"
100,"RESOLVED",NA,NA,"52936660-d333-429b-8602-fa7fca81","0M-1M","NB"
0,NA,NA,"TestingPhonepe-disbale",NA,"0M-1M","UPI"
57.14,"RESOLVED","INDIA",NA,"udf6","2M-3M","CARD"
100,"RESOLVED","UKRAINE","Easebuzz Routing","CH14","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","prqjzo2x86m3","0M-1M","NB"
0,"MATCH","UNITED STATES OF AMERICA","Test - Jo","udf6","7M-8M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930864738","0M-1M","CARD"
100,"RESOLVED",NA,NA,"V2ViQXBwLUVhdFN1cmU=_10022703_XA","0M-1M","NB"
0,"MATCH","UNITED STATES OF AMERICA","Test - Jo",NA,"10M-1H","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","6zk0hb74z7dk","0M-1M","NB"
0,"RESOLVED",NA,"Easebuzz Routing","CH09","10M-1H","UPI"
100,"RESOLVED",NA,"Surcharge with Billdesk and PayU","http://localhost:3000/app/l2i/cu","0M-1M","NB"
100,"CONFLICTED","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0883634371227770880","10M-1H","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","ytrjmii4jvnj","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpX","5M-6M","CARD"
100,"RESOLVED",NA,NA,"100727d5-40f3-4434-9f71-1345081a","0M-1M","UPI"
100,"RESOLVED","INDIA",NA,"9244","0M-1M","CARD"
0,"RESOLVED",NA,"Test - Jo",NA,"7M-8M","RTP"
0,NA,"USA","Pinelabls_testing","1930861870","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869979","0M-1M","CARD"
0,"MATCH","INDIA",NA,"1763708171-10225","3M-4M","CARD"
0,"RESOLVED","INDIA","ICICI_UPI Gateway test",NA,"10M-1H","CARD"
0,"RESOLVED",NA,NA,"af421a1d-6612-4c67-b63c-c5b29f0c","10M-1H","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","jbtrcxm4quki","0M-1M","NB"
0,NA,"USA","Pinelabls_testing","1930860682","0M-1M","CARD"
0,"RESOLVED",NA,"Prod Ready PL_1","RINGSICREVA","5M-6M","UPI"
82.43,"RESOLVED",NA,"Test - Jo",NA,"0M-1M","AADHAAR"
0,"MATCH","INDIA",NA,"web","10M-1H","CARD"
0,"RESOLVED",NA,"Accommodating for CAMSPay",NA,"1D-3D","NB"
0,NA,NA,"Pinelabls_testing","1930858096","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930859700","0M-1M","CARD"
0,NA,NA,"Current PL 25072025",NA,"0M-1M","NB"
100,"RESOLVED",NA,NA,"009bc5f4-ae50-4843-b","0M-1M","NB"
0,"MATCH",NA,NA,"268","10M-1H","NB"
96.43,"RESOLVED",NA,"test",NA,"0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930855907","0M-1M","CARD"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","3ad84fa6-242d-46bc-ae5b-39ec3101","0M-1M","CARD"
0,NA,"INDIA","testing route","IOS","0M-1M","CARD"
0,NA,NA,"jfvughfdoljsknzx.,",NA,"0M-1M","WALLET"
0,"RESOLVED",NA,NA,"e105ba4f-a02c-42e5-9bfd-0c6645cc","10M-1H","UPI"
100,"RESOLVED","INDIA",NA,"8949","0M-1M","CARD"
100,"RESOLVED","USA","Pinelabls_testing","1930861354","0M-1M","CARD"
100,"RESOLVED",NA,NA,"epn_5nqUHuaNm4KwAqv","0M-1M","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","s62lf0ap1o91","0M-1M","NB"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869563","0M-1M","CARD"
0,"MATCH",NA,NA,"web","1H-1D","UPI"
0,"RESOLVED",NA,"Cahsfree Testing","ssxl9kwjt6xs","0M-1M","UPI"
0,"RESOLVED",NA,"Cahsfree Testing","n1cqayd348d7","0M-1M","UPI"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","aa2fa2bb-c363-4624-8121-beb7eb44","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869849","0M-1M","CARD"
0,NA,NA,NA,"KIOSK","0M-1M","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","yhex8rit2hue","0M-1M","NB"
100,"RESOLVED","INDIA",NA,"8946","0M-1M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930866883","3M-4M","CARD"
100,"RESOLVED","United Arab Emirates","UPI_ROUTER","2483897c-0dda-4d89-af29-497d1880","3M-4M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","w36597psav0y","0M-1M","NB"
100,"RESOLVED","USA","Pinelabls_testing","1930857618","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","eg8effvkcwet","0M-1M","NB"
0,"RESOLVED","USA",NA,"1930855838","3M-4M","CARD"
100,"RESOLVED","INDIA","Pinelabls_testing","1930869951","1M-2M","CARD"
100,"RESOLVED",NA,NA,"dc49bea2-8e9d-4c6e-8","0M-1M","NB"
0,"RESOLVED",NA,NA,"100.0","0M-1M","UPI"
100,"RESOLVED",NA,"Cahsfree Testing","0xflmpmvkx5a","0M-1M","NB"
100,"RESOLVED","INDIA","staging handler",NA,"0M-1M","CARD"
100,"RESOLVED","INDIA",NA,"WDLD-248900819-68775-U","0M-1M","CARD"
100,"RESOLVED",NA,"Cahsfree Testing","q4nw1zkrbgve","0M-1M","NB"
100,"RESOLVED",NA,NA,"019aa1f8-bdf3-7002-a82a-366e529c","0M-1M","NB"
100,"RESOLVED","INDIA","Tata PA - 25% TN and 5% of other cards","BPPTN0881524428002762752","1M-2M","CARD"
nan,"RESOLVED",NA,NA,"258","1H-1D","NB"
0,"RESOLVED",NA,"Cahsfree Testing","jdj4uuh2n1bn","0M-1M","UPI"
0,"RESOLVED",NA,NA,"2d8e8bee-7cc2-42ef-a33a-4a2d9be5","10M-1H","UPI"
0,NA,NA,"Cashfree (Debit) & Payu (Credit)","708","1D-3D","NB"
100,"RESOLVED","UNITED STATES OF AMERICA",NA,"offer_key: None","0M-1M","CARD"
